一级分类,二级分类,疾病,挂什么科,哪些症状,好发人群,治疗方法,治疗费用,是否传染,患病比例,治愈率,治疗周期,html
内科,神经内科,痉病,中医科,角弓反张、牙关紧闭、抽搐,小儿,中医药物治疗、西医药物治疗,根据不同医院，收费标准不一致，市三甲医院约（500 —— 5000元）,否,0.01%,50%,3-6个月,https://tag.120ask.com/jibing/jingbing/
内科,神经内科,戒酒综合征,神经内科,酒精性震颤、恶心与呕吐、面色潮红、厌食、戒断性痫性发作、嗜酒性幻觉性精神错乱、震颤、谵妄、抽搐、意识障碍、结膜充血、心动过速,所有群体,对症治疗,根据不同医院，收费标准不一致，市三甲医院约（1000-5000元）,否,0.0035%,60%,10天,https://tag.120ask.com/jibing/jjzhz/
内科,神经内科,进行性面偏侧萎缩症,神经内科,皮肤萎缩和色素沉着、脱发、毛细血管扩张症、出汗异常、一侧颜面肥大、面部叩击征、瞳孔异常、肌性肌无力、颜面发红紫色、脏器变小、偏身萎缩、无法引出moro反应,所有群体,对症治疗,根据不同医院，收费标准不一致，市三甲医院约（500-1000元）,否,0.00052%,60%,3个月,https://tag.120ask.com/jibing/jxxmpcwsz/
内科,神经内科,酒精性脑萎缩,神经内科,焦虑、失眠、头痛、乏力、肌肉萎缩、反应迟钝、癫痫和癫痫样发作、脑沟变宽、酒精性震颤、震颤谵妄、记忆力障碍、人格改变,所有群体,病因治疗、对症治疗,根据不同医院，收费标准不一致，市三甲医院约（1000-5000元）,否,0.0012%,75%,1-3个月,https://tag.120ask.com/jibing/jjxnws/
内科,神经内科,金黄色葡萄球菌脑膜炎,神经内科,全身感染中毒症状、畏寒、剧烈头痛、颈强直、感染性发热、荨麻疹样皮疹、瘫痪、脑脓肿、脑膜刺激征、恶心与呕吐、头痛,所有群体,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.002%,70%,1个月,https://tag.120ask.com/jibing/jhsptqjnmy/
内科,神经内科,酒精性弱视,眼科,视力障碍、读小字和辨色困难、对红绿颜色分辨不清、大量饮酒后突然视力减退、维生素B族缺乏、球后视神经炎、营养不良、营养障碍、视物模糊,所有群体,病因治疗、对症治疗,根据不同医院，收费标准不一致，市三甲医院约（500-1000元）,否,0.001%,40%,3个月,https://tag.120ask.com/jibing/jjxrs/
内科,神经内科,筋瘤,疼痛科,下肢疼痛、酸胀不适、乏力、筋脉蚯蚓状凸起、团块、溃疡、皮肤瘙痒、颜色黑褐,长期站立工作者、怀孕妇女,手术治疗、中药治疗,根据不同医院，收费标准不一致，市三甲医院约（1000 —— 5000元）,否,0.3%,70%,4-8周,https://tag.120ask.com/jibing/jinliu/
内科,神经内科,进行性脂肪营养不良,神经内科、营养科,上半身正常下半身肥胖型、上半身消瘦下半身肥胖型、单纯性上半身消瘦型、上半身肥胖型、下半身消瘦型、全身消瘦型、半身肥胖型,5～10岁女性,药物治疗、支持疗法,根据不同医院，收费标准不一致，市三甲医院约（5000 —— 8000元）,否,发病率约为0.0001%--0.0002%,,大部分需要终身治疗,https://tag.120ask.com/jibing/jxxzfyybl/
内科,神经内科,紧张性头痛,神经内科,颈部僵硬、头沉、紧张、头痛,成年女性,中医药物治疗、西医药物治疗,根据不同医院，收费标准不一致，市三甲医院约（1000 —— 5000元）,否,0.001%,98%,15天,https://tag.120ask.com/jibing/jzxtt/
内科,神经内科,惊风,急诊科,抽搐、高热、惊厥,1—5岁的小儿多见,急救、药物治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 ——8000 元）,否,0.003%,90%,1-3天,https://tag.120ask.com/jibing/jingfeng/
内科,神经内科,酒精中毒性肌病,神经内科,超量饮酒后两下肢突然出现痉挛和疼痛、下肢无力、对称性肌无力、下肢水肿、嗜酒性幻觉性精神错乱、酒后四肢酸痛、震颤谵妄、呼吸气为酒味、嗜酒、肌肉萎缩、皮肤温度升高、肌性肌无力,所有群体,对症治疗,根据不同医院，收费标准不一致，市三甲医院约（500-1000元）,否,0.0001%,40%,3个月,https://tag.120ask.com/jibing/jjzdxjb/
内科,神经内科,进行性肥厚性间质性神经炎,神经内科,下肢无力、肌肉萎缩、位置觉、震动觉减退、无力、延髓性麻痹、多发性神经炎、腭舌咽呼吸肌呈对称性弛缓性轻瘫、感觉障碍、膝腱反射消失,所有群体,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（500-1000元）,否,发病率约为0.001%--0.002%,30-50%，以控制症状治疗为主,1-2年,https://tag.120ask.com/jibing/jxxfhxjzxsjy/
内科,神经内科,精神发育迟缓,神经内科,智力发育迟缓、学习困难、轻度精神发育迟滞、中度精神发育迟滞、重度精神发育迟滞、智力减低,所有群体,病因治疗、对症治疗,根据不同医院，收费标准不一致，市三甲医院约（1000-5000元）,否,0.001%,35%,1-3个月,https://tag.120ask.com/jibing/jsfych/
内科,神经内科,酒精中毒性神经疾病,神经内科,运动变得缓慢而且不准确、唐突,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（1000 —— 3000元）,否,长期饮酒患者中可达10%,,3年,https://tag.120ask.com/jibing/jjzdxsjjb/
内科,神经内科,进行性核上性麻痹,神经内科,疲劳、嗜睡、易跌倒、看不到脚尖步行困难、眼球不能随意动、假性延髓性麻痹、痴呆、步态不稳、凝视麻痹、眼肌麻痹、构音不清、吞咽困难,所有群体,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,发病率约为0.003%-0.005%,,终身间歇性对症治疗,https://tag.120ask.com/jibing/jxxhsxmb/
内科,神经内科,酒中毒性痴呆,神经内科,情感淡漠、斜视、失眠、日常生活能力减退和行为异常、烦躁不安、焦虑、小脑性共济失调、认知功能障碍、判断力和定向力障碍、定向力障碍、记忆力障碍、感觉障碍,所有群体,脑缺血、缺氧、脑外伤、慢性肝病,根据不同医院，收费标准不一致，市三甲医院约（1000-5000元）,否,0.01%,40%,3个月,https://tag.120ask.com/jibing/jzdxcd/
内科,神经内科,颈椎椎管狭窄症,脊柱外科,颈部酸痛不适，下肢乏力，踩棉花感、上肢麻木疼痛、无力、持物不稳、四肢感觉分离,老年人,手术治疗、药物治疗、康复治疗、中医治疗,根据不同医院，收费标准不一致，市三甲医院约（10000 —— 30000元）,否,人群患病概率0.076%,,手术治疗周期14天,https://tag.120ask.com/jibing/jzzgxzz/
内科,神经内科,绝经与阿尔茨海默病综合征,神经内科,记忆力、抽象思维、定向力等的障碍、同时伴有社会活动能力的减退,65岁以上老年人,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（10000 —— 50000元）,否,8%,10%,1-6个月,https://tag.120ask.com/jibing/jjyaechmbzhz/
内科,神经内科,酒中毒性小脑变性,神经内科,小脑体征、步态不稳、共济失调、意向性震颤、嗜酒、步态异常、呼吸气为酒味、判断力和定向力障碍、小脑畸形、嗜酒性幻觉性精神错乱、醉汉步态,所有群体,病因治疗、对症治疗,根据不同医院，收费标准不一致，市三甲医院约（1000-5000元）,否,酗酒者发病率约为0.5%-0.8%,60%,3-5年,https://tag.120ask.com/jibing/jzdxxnbx/
内科,神经内科,库鲁病,神经内科、感染科,肢体震颤、蹒跚步态、步态不稳、共济失调、休克、晕厥、眼球震颤、不自主运动、肌肉萎缩、消瘦、斜视、腱反射亢进,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约10000-30000元,是,本病罕见，发病率约为0.0001%--0.0003%,,大部分需要终身用药,https://tag.120ask.com/jibing/kulubing/
内科,神经内科,神经棘红细胞增多症,神经内科,进食困难、步态不稳、智能减退、癫痫和癫痫样发作、脉涩或结、定位体征、全身各脏器血流缓慢、瘫痪、肌性肌无力、红细胞增多、肤色赤红,见于青春期或成年早期，发病年龄8～62岁,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000 —— 15000元）,否,0.001%,50%,3个月,https://tag.120ask.com/jibing/sjjhxbzdz/
内科,神经内科,酒中毒性周围神经病,神经内科,感觉障碍、下肢无力、瘫痪、腕下垂、肌肉萎缩、肌肉压痛、腱反射消失、头晕、失眠、多梦、心慌,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约1000--5000,否,25%,60%,1-2年,https://tag.120ask.com/jibing/jzdxzwsjb/
内科,神经内科,眶上神经痛,神经内科,眼眶疼痛、神经痛、前额针刺样痛或烧灼感、额区感觉减退、额部疼痛、前额头痛、头痛、中度痛、始于眼部，扩张开来的面头痛、耳顶线以下至发际处痛觉过敏或减退,所有群体,病因治疗、对症治疗 暂无,根据不同医院，收费标准不一致，市三甲医院约（100-500元）,否,0.01%,70%,1个月,https://tag.120ask.com/jibing/kssjt/
内科,神经内科,萎缩侧索硬化,神经内科,肌肉萎缩、无力、腱反射异常、吞咽困难、感觉障碍、言语紊乱,所有群体,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.0025%,65%,1-3个月,https://tag.120ask.com/jibing/wscsyh/
内科,神经内科,绝经期关节炎,内分泌科,潮红潮热、月经失调、畏寒、头晕、贫血、食欲减退、记忆力消失、失眠、水肿、月经周期改变、瘙痒、疼痛,绝经期女性,药物治疗、生活调理,根据不同医院，收费标准不一致，市三甲医院约10000--50000,否,女性发病率约为3%-5%,70%,8-12周,https://tag.120ask.com/jibing/jjqgjy/
内科,神经内科,橄榄体脑桥小脑萎缩,神经内科,乏力、易跌倒、头晕、构音障碍、脑干损害体征、下肢无力、小脑性共济失调、共济失调、步态不稳、饮水呛咳、意向性震颤、眼球震颤,所有群体,对症治疗,根据不同医院，收费标准不一致，市三甲医院约（1000-5000元）,否,0.003%,40%,3个月,https://tag.120ask.com/jibing/tnqxnws/
内科,神经内科,开放性脑外伤,神经外科,意识障碍、生命体征改变、颅内压增高、脑膜刺激症状,所有群体,手术治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.0003%,70%,3-6月,https://tag.120ask.com/jibing/kfxnws/
内科,神经内科,老年人脊髓亚急性联合变性,神经内科,乏力、腹泻、贫血、无力、恶心与呕吐、感觉障碍、瘫痪、昏迷,老年人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约5000--10000,否,60岁以上老年人发病率约为0.0001%--0.0004%,30-40%,3-5年,https://tag.120ask.com/jibing/lnrjsyjxlhbx/
内科,神经内科,拉福拉病,神经内科,抽搐、共济失调、幻觉、肌阵挛、卧床不起、易激惹、意识丧失、进行性认知功能衰退,好发于儿童晚期和青春期,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（1000 —— 3000元）,否,0.02%,70%,2-4月,https://tag.120ask.com/jibing/lflb/
内科,神经内科,考后综合症,精神心理科,抑郁、暴饮暴食、失眠、考试焦虑、焦虑性适应障碍、胃肠道症状、免疫力下降,学生,药物治疗、心理辅导,根据不同医院，收费标准不一致，市三甲医院约（1000 —— 5000元）,否,0.05%,,治疗周期30天,https://tag.120ask.com/jibing/khzhz/
内科,神经内科,老年人糖尿病周围神经病,内分泌科、神经内科,呈对称性疼痛和感觉异常、下肢症状较上肢多见、感觉异常有麻木、蚁走、虫爬、发热、触电样感觉、往往从远端脚趾上行可达膝上、患者有穿袜子与戴手套样感觉,老年糖尿病患者,中药治疗、西药治疗,根据不同医院，收费标准不一致，市三甲医院约（5000—— 10000元）,否,糖尿病患者并发本病的几率约为30-50%，属于远期并发症,30-50%，多以控制为主,终身治疗,https://tag.120ask.com/jibing/lnrtnbzwsjb/
内科,神经内科,赖利-戴综合征,心血管内科,便秘 步态不稳 抽搐 猝死 低血压 发绀 腹泻 高血压,幼儿,中医药物治疗、西医药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000 —— 20000元）,否,0.0001%,10%,10-30天,https://tag.120ask.com/jibing/lldzhz/
内科,神经内科,老年人夏伊-德雷格综合征,神经内科,便秘、低血压、反应迟钝、腹痛、腹泻、共济失调、肌肉萎缩、肌束震颤,中老年人,中医药物治疗、西医药物治疗,根据不同医院，收费标准不一致，市三甲医院约根据不同医院，收费标准不一致，市三甲医院约（1000-5000元）,否,0.002%,50%,3个月,https://tag.120ask.com/jibing/lnrxydlgzhz/
内科,神经内科,赖氏综合征,神经内科,出生时小头、出血倾向、定位体征、定向力障碍、烦躁不安、腹泻、肝功能异常、肝脏肿大,所有人群,支持疗法、药物治疗,根据不同医院，收费标准不一致，市三甲医院约（1000 —— 5000元）,否,0.0004%-0.001%,25%-35%(对症治疗为主),3-6个月,https://tag.120ask.com/jibing/lszhz/
内科,神经内科,克拉伯病,儿内科,智力障碍、肺部感染、跌伤,婴幼儿多见,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（10000 —— 30000元）,否,0.001%,30%,3个月,https://tag.120ask.com/jibing/klbb/
内科,神经内科,老年人运动神经元病,神经内科,肌肉萎缩、肌无力、声音嘶哑、无力、饮水呛咳、流涎、表情淡漠、吞咽困难、瘫痪,老年人群,对症治疗、支持治疗、康复治疗、中药治疗,根据不同医院，收费标准不一致，市三甲医院约10000--30000,否,0.005%,60%,一个月,https://tag.120ask.com/jibing/lnrydsjyb/
内科,神经内科,兰伯特-伊顿综合征,神经内科,斑秃、便秘、低血压、对称性肌无力、恶性贫血、复视、构音障碍、括约肌功能障碍,多于50～70 岁，男性较多,支持疗法,根据不同医院，收费标准不一致，市三甲医院约（10000 —— 20000元）,否,0.001%,30%,3个月,https://tag.120ask.com/jibing/lbtydzhz/
内科,神经内科,克罗伊茨费尔特-雅各布病,神经内科,乏力、疲劳、失眠、注意力不集中、精神涣散、烦躁、头疼头晕、肢体乏力、行走不稳、认知障碍、记忆力丧失、痴呆、定向障碍,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000--12000元）,否,0.001%,30%,3个月,https://tag.120ask.com/jibing/klycfetygbb/
内科,神经内科,老年性耳聋,五官科,听力减退、耳聋、耳鸣、神经性耳聋、嗜睡、听力下降、眩晕,老年人群,药物治疗、助听器、耳蜗植入器、听觉和言语训练,根据不同医院，收费标准不一致，市三甲医院约（2000—— 5000元）,否,0.004%--0.007%(上述为60岁以上老年人发病率),20-30%(多位神经性耳聋，根治机会较小),1-3年,https://tag.120ask.com/jibing/lnxel/
内科,神经内科,克-雅氏病性痴呆,神经内科,神经衰弱综合征、记忆力障碍、四肢无力、步态不稳、注意力不集中、关节强直、进行性肌麻痹、震颤、易激惹、头痛、头晕、乏力,发病年龄多在40～65岁,病因治疗、对症治疗,根据不同医院，收费标准不一致，市三甲医院约（10000-50000元）,否,0.005%,30%,3-6月,https://tag.120ask.com/jibing/kysbxcd/
内科,神经内科,客忤,中医儿科,口吐青黄白沫，面色变异，喘急腹痛，反侧不安,小儿,中医药物治疗、西医药物治疗,根据不同医院，收费标准不一致，市三甲医院约（500 —— 1000元）,否,1%,100%,7-14天,https://tag.120ask.com/jibing/ke/
内科,神经内科,老年性舞蹈病,神经内科,舞蹈病样动作、舞蹈样手足徐动、舞蹈样不自主运动、异常粗大的舞蹈样动作、舞蹈样步态,所有群体,病因治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.001%,10%,1-3个月,https://tag.120ask.com/jibing/lnxwdb/
内科,神经内科,老年人脊髓压迫症,脊柱外科,瘫痪、肌性肌无力、轻瘫、腱反射异常、大小便失禁,所有群体,手术治疗、对症治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.001%,60%,3个月,https://tag.120ask.com/jibing/lnrjsypz/
内科,神经内科,老年眩晕,神经内科,自觉身体旋转、失去平衡、身体晃动、步态不稳、恶心呕吐、心慌、虚汗、跌倒,老年人,药物治疗、中医治疗、介入治疗,根据不同医院，收费标准不一致，市三甲医院约（2000 —— 10000元）,否,0.058%,65%,4-8周,https://tag.120ask.com/jibing/lnxy/
内科,神经内科,雷诺综合征,神经内科,肢端接连出现苍白、发组和潮红反应、多疑、手足厥寒、运动功能障碍、多汗症、胀痛、容易激动、营养障碍、皮肤弹性差、紫绀、感觉障碍,青年人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约1000--3000,否,"50%(长期从事振动性作业(如汽钻、电锯)的工人中间,雷诺综合征的发病率可高达50%)",60%,1-3个月,https://tag.120ask.com/jibing/lnzhz/
内科,神经内科,流行性甲型脑炎,神经内科、感染科,嗜睡、头晕、乏力、全身肌张力障碍、眩晕、肌肉纤维震颤、意识改变状态、伤寒面容、唾液分泌增多、眼球不能随意动、知觉消失、吞咽困难,所有群体,病因治疗、对症治疗,根据不同医院，收费标准不一致，市三甲医院约（10000-50000元）,是,0.008%,,治疗周期14天,https://tag.120ask.com/jibing/lxxjxny/
内科,神经内科,类固醇肌病,内分泌科,肌痛常见、类固醇减量、后肌痛消失,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（10000 —— 20000元）,否,0.0012%,30%,1-2个月,https://tag.120ask.com/jibing/lgcjb/
内科,神经内科,雷头风,中医科,恶心、腹泻、肝功能异常、关节挛缩、黄疸、剧痛、溃疡、黏膜损害,所有人群,中医药物治疗,根据不同医院，收费标准不一致，市三甲医院约（200 —— 600元）,否,0.001%,70%,7-14天,https://tag.120ask.com/jibing/leitoufeng/
内科,神经内科,利斯特菌脑膜炎,神经内科,发烧、头痛、眩晕、恶心与呕吐、呼吸不规则、休克、前囟饱满、昏迷、脑膜刺激征、脑脓肿、婴幼儿抽风,多见于婴幼儿、老年人及免疫功能缺陷的成人患者,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 8000元）,否,0.005%,60%,2-4个月,https://tag.120ask.com/jibing/lstjnmy/
内科,神经内科,颅骨裂和有关畸形,神经外科,脑膜刺激征、骨缝分开、斜头畸形、眩晕、短头畸形、颅底畸形、头痛、巨大颅骨缺损、颅骨增生、发育性畸形、头颅骨病变、颅缝裂开,所有群体,手术治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,发病率极低，约0.0025%,,5-10年，需行多次手术,https://tag.120ask.com/jibing/lglhygjx/
内科,神经内科,麻痹性臂丛神经炎,神经外科,肩胛带肌疼痛、无力、肌萎缩,成年人,针灸、理疗、药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,发病率誉为0.05%--0.08%,40-50%，以对症治疗为主,1-3年,https://tag.120ask.com/jibing/mbxbcsjy/
内科,神经内科,良性颅内高压症,神经内科,头痛、视野缩小、视力障碍、复视,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约1000--5000,否,0.025%,70%,2个月,https://tag.120ask.com/jibing/lxlngyz/
内科,神经内科,颅骨纤维异常增生症,神经外科,头面部外形的改变和颅骨局部的非对称性突起、隆起骨质较软、呈硬橡皮状内含砂粒样骨化小岛,青少年或成年,手术治疗,根据不同医院，收费标准不一致，市三甲医院约（5000 —— 10000元）,否,0.025%,60%,3个月,https://tag.120ask.com/jibing/lgxwyczsz/
内科,神经内科,麻痹性痴呆,神经内科,被害妄想 、病理性赘述、步态不稳、痴呆、抽搐、大小便潴留 烦躁不安、鼻唇沟变浅,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（2000——10000元）,否,0.003%,40%,1-3个月,https://tag.120ask.com/jibing/mbxcd/
内科,神经内科,颅内低压综合征,神经外科,头痛、眩晕、恶心与呕吐、耳鸣、晕厥、剧烈头痛、头昏、畏光、厌食、失眠、意识障碍,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约6000--12000,否,0.001%,30%,7天,https://tag.120ask.com/jibing/lndyzhz/
内科,神经内科,麻风性周围神经病,神经内科、感染科,感觉障碍、下肢皮肤营养性改变、肢体发凉、肌肉萎缩、步态异常、足穿孔、发作性傻笑、瘫痪、职业神经症、足和足趾不能背屈、肢体或躯干麻木,所有群体,病因治疗、对症治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,是,发病罕见，发病率约0.001%,10-20%,3-5年,https://tag.120ask.com/jibing/mfxzwsjb/
内科,神经内科,淋巴细胞脉络丛脑膜炎,神经内科,高热、头痛、浑身酸痛、背痛、发烧、腹泻、咳嗽、恶心与呕吐、呼吸不规则、腹痛、寒战,所有人群,对症治疗、药物治疗,根据不同医院，收费标准不一致，市三甲医院约5000--12000,否,本病罕见，发病率约为0.005%,40%-50%,6-12个月,https://tag.120ask.com/jibing/lbxbmlcnmy/
内科,神经内科,颅内高压综合征,神经外科,剧烈的头痛、喷射状呕吐,40岁以上中年男人多见,保守治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（10000-50000元）,否,0.0003%,30%,2-3周,https://tag.120ask.com/jibing/lngyzhz/
内科,神经内科,淋巴细胞性脉络丛脑膜炎,神经内科,流感样症状、头痛、呕吐、肌肉酸痛、恶心与呕吐、身痛、发烧、肌无力、呼吸不规则,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约10000--50000,否,0.0001%,6%,10-30天,https://tag.120ask.com/jibing/lbxbxmlcnmy/
内科,神经内科,颅内静脉窦闭塞性颅高压,神经内科,眼球突出、鼓膜发红耳后红肿、头痛、呕吐、谵妄、抽搐、斜视、偏瘫,所有人群,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约10000--50000,否,0.0001%,20%,30天,https://tag.120ask.com/jibing/lnjmbsxlgy/
内科,神经内科,颅内静脉血栓形成,神经内科,高热寒战、乏力、精神萎靡、肌肉酸痛、瘫痪、共济失调、局部静脉压痛、高凝状态,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约10000--50000,否,0.0007%,70%,1-2个月,https://tag.120ask.com/jibing/lnjmxsxc/
内科,神经内科,脉络丛乳头状瘤,眼科,头痛、恶心、呕吐、癫痫发作、视物模糊、意识改变,好发于儿童,手术治疗,根据不同医院，收费标准不一致，市三甲医院约（50000 —— 100000元）,否,0.005%,50%,1-3个月,https://tag.120ask.com/jibing/mlcrtzl/
内科,神经内科,流感嗜血杆菌脑膜炎,神经内科,头痛、恶心、呕吐、发烧,所有人群,手术治疗、药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000 —— 10000元）,否,0.003%,60%,3个月,https://tag.120ask.com/jibing/lgsxgjnmy/
内科,神经内科,颅狭症,神经外科,鼻旁窦发育不良、长头畸形、短头畸形、恶心、反复上呼吸道感染、金鱼眼、面部畸形、前囟闭合延迟,婴幼儿,手术治疗,根据不同医院，收费标准不一致，市三甲医院约（60000 —— 150000元）,否,0.005%,70%,1-3个月,https://tag.120ask.com/jibing/luxiazheng/
内科,神经内科,慢惊风,神经内科、中医科,面色苍白、嗜睡、无神、抽搐无力、时作时止、或两手颤动、筋惕肉瞤,呕吐、腹泻、急惊风、解颅、佝偻病等病症史患者,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000 —— 8000元）,否,0.1%,80%,1-3天,https://tag.120ask.com/jibing/manjingfeng/
内科,神经内科,流行性出血性结膜炎,眼科,耳前淋巴结肿大 角膜糜烂 角膜炎 流泪 头痛 眶周水肿 结膜充血,所有人群,对症治疗、抗病毒和预防感染治疗,根据不同医院，收费标准不一致，市三甲医院约（2000——1000元）,是,人群患病概率2.1%,,治疗周期14天,https://tag.120ask.com/jibing/lxxcxxjmy/
内科,神经内科,Machado-Joseph病,神经内科,步态异常、构音障碍、眼球震颤、眼球不能随意动、感觉障碍、肌肉萎缩、瘫痪,发病年龄较早，20～30岁发病,病因治疗、对症治疗,根据不同医院，收费标准不一致，市三甲医院约（50000-100000元）,否,发病率约为0.006%-0.01%,,终身间歇性治疗,https://tag.120ask.com/jibing/machadojosephb/
内科,神经内科,慢性进行性舞蹈病,神经内科,精神障碍、烦躁不安、异常粗大的舞蹈样动作、小脑性共济失调、进行性痴呆,所有群体,病因治疗、对症治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.01%,74%,1-3个月,https://tag.120ask.com/jibing/mxjxxwdb/
内科,神经内科,毛细血管扩张性共济失调综合征,神经内科,步态不稳、意向性震颤、腱反射消失、深感觉障碍、共济失调、肢体运动不协调、红赤面、发作性不自主运动、鼻子红血丝、脑干病变、颜面充血呈樱桃红色、平衡功能障碍,所有群体,手术治疗,根据不同医院，收费标准不一致，市三甲医院约（500-1000元）,否,0.001%,30%,1-2个月,https://tag.120ask.com/jibing/mxxgkzxgjsdzhz/
内科,神经内科,慢性疲劳综合症,中医科,疲劳、食欲减退、精神萎靡、易激惹、情绪起伏大、反应迟钝、注意力不集中、皮肤粗糙、皮肤干燥多屑、毛发脱落、体重增加、消化不良,所有群体,病因治疗、对症治疗,根据不同医院，收费标准不一致，市三甲医院约（500-1000元）,否,多见于夜间工作人群，发病率约为0.01%-0.05%,75%,1-2年,https://tag.120ask.com/jibing/mxplzhz/
内科,神经内科,瞀瘛,神经内科、中医科,目眩、眼花或心烦闷乱、神识昏糊、四肢抽搐,成年人多见,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 8000元）,否,0.0001%,85%,7-10天,https://tag.120ask.com/jibing/maochi/
内科,神经内科,内分泌性肌病,神经内科、内分泌科,肩带肌、上肢和胸背部诸肌的肌无力和肌萎缩、肌肉萎缩、突眼症、手内肌萎缩、眼肌麻痹、斜视、复视、两眼上视障碍、眼睑痉挛、肌痛、构音障碍、眼球震颤,所有群体,病因治疗、对症治疗,根据不同医院，收费标准不一致，市三甲医院约（10000-50000元）,否,0.015%,75%,3-6月,https://tag.120ask.com/jibing/nfmxjb/
内科,神经内科,迷走神经损伤,神经内科,咽反射消失、呛咳、声音嘶哑、吞咽障碍、发音障碍、假性延髓性麻痹,所有群体,病因治疗、对症治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.003%,60%,10-30天,https://tag.120ask.com/jibing/mzsjss/
内科,神经内科,难治性癫痫,神经内科,智力发育迟缓、癫痫和癫痫样发作、婴儿睡觉出汗、心悸、腹痛、恐惧、焦虑,所有群体,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.005%,40%,3个月,https://tag.120ask.com/jibing/nzx/
内科,神经内科,脑外伤后综合征,神经内科,健忘、性格改变、幻觉、妄想、抑郁、头痛、癫痫、肢体功能障碍、言语障碍,所有人群,康复治疗、心理治疗、药物治疗、中医疗法,根据不同医院，收费标准不一致，市三甲医院约（5000 —— 15000元）,否,0.002%,30%,1-6个月,https://tag.120ask.com/jibing/nwshzhz/
内科,神经内科,面部偏侧萎缩,神经内科,神经痛、血运障碍、肌肉萎缩,所有群体,病因治疗、对症治疗,根据不同医院，收费标准不一致，市三甲医院约（500-1000元）,否,0.003%,60%,1-2个月,https://tag.120ask.com/jibing/mbpcws/
内科,神经内科,面肌抽搐,神经内科,面部阵发性、快速、不规律的抽搐、疼痛、口角歪斜、言语不清,所有人群,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 5000元）,否,0.001%--0.006%,40%,2-4周,https://tag.120ask.com/jibing/mjcc/
内科,神经内科,脑肺吸虫病,神经内科,头晕、头痛、视力障碍、偏瘫、腹泻、发烧、腹痛、癫痫和癫痫样发作、皮下结节、咳嗽、痰中带血、咳铁锈色痰,所有群体,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（500-1000元）,否,0.003%,50%,3个月,https://tag.120ask.com/jibing/nfxcb/
内科,神经内科,脑性瘫痪综合征,神经内科,运动异常、肢体瘫痪、肌张力异常、反射异常、共济失调,婴幼儿、儿童,康复理疗、药物治疗、生活调理,根据不同医院，收费标准不一致，市三甲医院约5000--10000元,否,婴幼儿患病概率0.0023%,,治疗周期：终身,https://tag.120ask.com/jibing/nxthzhz/
内科,神经内科,面肌瘫痪,神经内科,一侧面部麻木、口眼歪斜、鼻唇沟变浅、耳鸣、眼睑不能闭合、不能撅嘴、嘴角漏气,所有人群,药物治疗、中医疗法、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（1000 —— 5000元）,否,0.37%,91.2%,21天,https://tag.120ask.com/jibing/mjth/
